DEPTH,ALCDLC,ALDD,DGDD,DGRCC,R09PC,R15PC,R27PC,R39PC,ROPA,TNDD,TNPL,TNPS,ALCDLC_TR,ALDD_TR,DGDD_TR,DGRCC_TR,R09PC_TR,R15PC_TR,R27PC_TR,R39PC_TR,ROPA_TR,TNDD_TR,TNPL_TR,TNPS_TR,ALCDLC_TR_TR,ALDD_TR_TR,DGDD_TR_TR,DGRCC_TR_TR,R09PC_TR_TR,R15PC_TR_TR,R27PC_TR_TR,R39PC_TR_TR,ROPA_TR_TR,TNDD_TR_TR,TNPL_TR_TR,TNPS_TR_TR,MISSING_FLAG
1543.05,2.4017,253367856.0,13.2084,91.5374,1.1339,1.2714,1.3009,1.1548,262.3396,327.2133,0.26989,0.31099,,,,,,,,,,,,,,,,,,,,,,,,,1
1543.2024,2.406,287339008.0,11.3739,99.5434,1.1248,1.3109,1.3714,1.2039,266.2679,279.5798,0.270429,0.311874,,,,,,,,,,,,,,,,,,,,,,,,,1
1543.3548,2.4172,321310176.0,9.5394,108.1405,1.1181,1.3505,1.4419,1.3682,270.1961,231.9464,0.272431,0.312758,,,,,,,,,,,,,,,,,,,,,,,,,1
1543.5072,2.4695,348583488.0,7.7397,110.0974,1.6595,1.3933,1.5166,2.1531,272.8362,186.3462,0.267879,0.313181,,,,,,,,,,,,,,,,,,,,,,,,,1
1543.6596,2.497,240782944.0,6.6443,112.7525,2.0424,1.5007,1.6745,2.394,249.4962,181.7504,0.257593,0.304311,,,,,,,,,,,,,,,,,,,,,,,,,1
1543.812,2.4854,132982408.0,5.5489,114.2604,1.8577,1.6082,1.8325,2.2059,226.1562,177.1546,0.246676,0.295442,,,,,,,,,,,,,,,,,,,,,,,,,1
1543.9644,2.4617,25181880.0,4.4535,98.3148,1.6147,1.7157,1.9904,1.9976,202.8162,172.5589,0.241971,0.286572,,,,,,,,,,,,,,,,,,,,,,,,,1
1544.1168,2.45,134.5031,5.4256,89.2593,1.9856,1.8265,2.0865,2.0708,207.5633,973970496.0,0.242074,0.283893,,,,,,,,,,,,,,,,,,,,,,,,,1
1544.2692,2.4752,143.9227,7.0278,93.3669,2.6882,1.9384,2.1638,2.4477,220.8712,2244801536.0,0.239976,0.2831,,,,,,,,,,,,,,,,,,,,,,,,,1
1544.4216,2.4859,153.3423,8.63,88.8485,2.8747,2.0503,2.2411,1.8526,234.1792,3515632640.0,0.238919,0.282308,,,,,,,,,,,,,,,,,,,,,,,,,1
