DEPTH,CALI,DT,GR_CAL,HDRA,PEFZ,RHOZ,RLA3,RLA5,RXOZ,SP,TENS,TNPH
553.974,367.4133,500.0397,89.5173,60.92,8.5518,1952.4,1.2182,1.5453,0.1681,-470.7216,845.0426,0.65155
554.1264,436.7705,518.8469,86.0757,47.03,8.3741,1900.04,1.2103,1.5334,0.1244,-470.6818,849.3517,0.69948
554.2788,483.1954,515.6109,83.0102,80.73,8.1859,1948.24,1.2237,1.5576,0.1247,-461.3625,842.5479,0.57927
554.4312,479.5596,513.7526,80.3878,118.82,8.0821,2049.3401,1.2838,1.5914,0.1573,-462.1079,839.5995,0.55428
554.5836,472.568,515.9633,81.8628,149.27,8.1028,2119.51,1.3591,1.6366,0.1932,-465.7329,843.0014,0.49276
554.736,472.568,495.4581,80.0602,143.09,8.2029,2145.74,1.3153,1.562,0.238,-470.65,835.5172,0.51711
554.8884,470.8901,472.4858,79.8962,136.6,8.3244,2132.54,1.3647,1.624,0.2493,-462.8977,832.7956,0.49945
555.0408,487.1105,457.235,77.9297,127.23,8.3692,2098.8,1.355,1.6123,0.2142,-454.8011,841.8674,0.49534
555.1932,492.1446,458.1321,77.52,109.28,8.3664,2046.9501,1.391,1.6291,0.1967,-454.6938,837.1047,0.45796
555.3456,473.9663,495.5862,81.4535,83.19,8.3314,1977.8301,1.2769,1.4896,0.1586,-452.8466,844.8158,0.48771
555.498,489.348,538.7434,83.7969,57.89,8.276,1923.48,1.0741,1.2114,0.1521,-453.0511,839.5995,0.47146
555.6504,524.0266,556.4291,86.0914,58.74,8.2051,1914.49,1.2633,1.4203,0.1384,-454.7437,830.0741,0.48055
555.8028,586.1126,541.627,82.322,76.23,8.1481,1943.26,1.1992,1.3402,0.1611,-454.3239,848.6714,0.58727
555.9552,579.96,514.4254,81.4206,105.12,8.148,1990.89,1.1732,1.2667,0.1716,-452.5938,844.3622,0.70995
556.1076,548.0779,497.8611,81.2567,118.02,8.1832,2016.2799,1.1976,1.3009,0.1871,-452.6932,841.8674,0.63472
556.26,535.7726,479.3423,85.9111,129.86,8.2478,2053.1299,1.1963,1.3245,0.2071,-452.3875,838.9191,0.52284
556.4124,564.2986,463.739,85.7801,138.95,8.3716,2090.99,1.16,1.2808,0.2384,-451.4602,851.6198,0.55178
556.5648,569.053,459.7021,82.6173,143.81,8.5578,2108.3501,1.3139,1.4731,0.3126,-461.8375,858.6503,0.51362
556.7172,558.7053,474.7286,79.4376,142.64,8.7625,2086.24,1.1413,1.2676,0.3095,-476.9063,844.1354,0.49197
556.8696,572.1294,479.983,79.7494,142.75,8.9034,2057.98,1.2319,1.3774,0.2396,-461.5398,861.3719,0.441
557.022,580.5193,461.9448,79.4707,158.19,8.9845,2059.76,1.1994,1.3472,0.1996,-452.5909,860.4647,0.49569
557.1744,590.3077,459.4137,78.8645,167.46,9.0692,2075.6099,1.3281,1.5023,0.2088,-454.2125,845.4962,0.45293
557.3268,563.18,469.8586,75.4388,156.61,9.1864,2080.0601,1.3076,1.4665,0.2014,-455.4546,859.5577,0.47967
557.4792,588.3499,474.6965,73.7997,139.58,9.3363,2098.6899,1.2653,1.3978,0.2234,-471.4688,868.1758,0.5186
557.6316,543.0441,471.1401,76.5367,129.6,9.5132,2107.3599,1.3401,1.4828,0.2793,-480.5625,853.6608,0.61426
557.784,558.4256,468.4488,83.0267,142.4,9.7059,2116.8899,1.2938,1.4254,0.3555,-480.325,850.0322,0.54572
557.9364,562.0614,475.9461,89.992,147.33,9.8759,2086.3499,1.2612,1.4001,0.2987,-479.6761,857.97,0.49156
558.0888,530.1793,485.0132,91.3033,146.54,9.9645,2070.6101,1.269,1.4226,0.2353,-469.9829,862.7327,0.53211
558.2412,552.5526,477.2597,89.1398,143.95,9.9978,2070.6001,1.2394,1.3775,0.208,-456.7437,848.4445,0.62188
558.3936,532.1368,467.5838,88.5663,133.6,10.0,2052.8201,1.295,1.4341,0.2273,-476.5625,841.4138,0.59354
558.546,511.1621,474.4082,87.5827,117.43,9.9902,2003.46,1.1504,1.2909,0.189,-480.0171,836.4244,0.50502
558.6984,482.3564,486.0705,87.6812,94.43,9.929,1954.11,1.1206,1.279,0.1639,-479.8693,840.9603,0.49161
558.8508,511.1621,484.2443,87.3537,100.1,9.8683,1994.28,1.2499,1.3895,0.1679,-479.85,840.053,0.48043
559.0032,508.9246,473.3188,87.3534,118.44,9.8661,2066.27,1.1953,1.3303,0.2459,-479.8977,829.6204,0.51856
559.1556,513.1196,470.8518,85.6329,136.55,9.9273,2114.45,1.1903,1.3181,0.4057,-480.1938,833.476,0.52548
559.308,456.3474,464.2196,85.452,134.69,9.988,2100.05,1.2553,1.3754,0.3404,-480.4091,841.4138,0.52697
559.4604,472.8477,449.7698,86.1077,131.89,9.9906,2085.47,1.2455,1.3597,0.302,-480.7125,848.4445,0.52744
559.6128,502.7719,445.9251,87.9924,130.43,9.9197,2081.97,1.171,1.321,0.251,-480.9034,842.7746,0.59796
559.7652,512.84,458.4525,95.5644,131.24,9.7725,2096.8398,1.2485,1.4115,0.2726,-481.0625,831.4348,0.64836
559.9176,502.7719,500.9048,96.3839,130.14,9.5559,2113.3298,1.3468,1.5031,0.3208,-481.225,845.9498,0.69509
560.07,508.3652,537.3977,93.7779,126.11,9.3005,2112.74,1.3577,1.4674,0.333,-481.7784,838.6923,0.65373
560.2224,501.6533,515.9313,87.2057,124.58,8.9996,2106.9299,1.2312,1.3372,0.3256,-482.5125,835.5172,0.58252
560.3748,497.1786,466.9109,86.4516,127.29,8.694,2106.4099,1.22,1.3179,0.2941,-483.0398,840.7335,0.48331
560.5272,512.5603,448.4562,87.0909,124.17,8.4242,2078.3201,1.2037,1.3064,0.308,-483.2954,833.7028,0.47941
560.6796,505.5687,482.6743,81.7649,117.14,8.2083,2020.4301,1.1081,1.2077,0.2534,-483.65,841.4138,0.60512
560.832,527.9418,512.3109,76.2909,98.62,8.0275,1955.3099,1.0838,1.1682,0.176,-484.25,833.2492,0.70026
560.9844,540.527,492.3182,74.9308,103.16,7.8617,1957.9299,1.1589,1.2285,0.1468,-484.4886,830.3009,0.64545
561.1368,560.3832,482.8666,72.8821,104.62,7.7451,1980.78,1.159,1.2229,0.1442,-484.2898,846.1766,0.4628
561.2892,542.7642,503.7883,77.8151,119.19,7.6603,2023.1801,1.191,1.2686,0.165,-484.2898,841.1871,0.47539
561.4416,523.4673,517.1168,78.5197,123.79,7.6199,2047.9801,1.2254,1.3198,0.1845,-484.3375,843.2282,0.5423
561.594,541.0863,503.7243,87.042,130.19,7.5992,2059.1199,1.2065,1.2926,0.187,-484.2784,815.559,0.90888
561.7464,521.5095,479.4704,87.3536,137.5,7.5962,2059.47,1.1426,1.2101,0.1865,-484.6079,833.9296,0.6901
561.8988,520.6708,480.7199,88.8123,143.65,7.6101,2056.1499,1.1737,1.2237,0.2053,-484.8523,858.4236,0.55782
562.0512,560.9425,493.6959,87.9928,152.21,7.629,2061.79,1.1531,1.2063,0.2323,-485.5796,846.8569,0.58287
562.2036,474.2459,478.9578,87.1732,156.19,7.6635,2058.6699,1.1747,1.2209,0.2337,-486.1875,820.095,0.67043
562.356,479.2799,462.3934,83.9115,147.54,7.7067,2036.16,1.1971,1.2631,0.1934,-486.75,855.4752,0.72517
562.5084,505.8484,476.9393,79.8799,134.17,7.7437,2013.17,1.1143,1.1784,0.1666,-487.3921,828.4865,0.61945
562.6608,534.654,502.6029,79.8801,130.13,7.7491,2021.9399,1.1152,1.2243,0.1668,-488.0909,820.095,0.53109
562.8132,564.2986,513.4963,83.6496,138.56,7.7249,2057.76,1.1659,1.2578,0.2008,-488.625,864.0934,0.52991
562.9656,564.2986,496.996,87.0258,145.1,7.6927,2086.95,1.2092,1.256,0.2402,-488.75,824.6309,0.51187
563.118,558.7053,458.6768,82.8465,144.01,7.647,2095.45,1.3251,1.3701,0.2422,-488.775,816.6931,0.53952
563.2704,510.8824,442.4648,85.3051,144.43,7.596,2106.1101,1.3947,1.4583,0.245,-489.1704,867.7222,0.55137
563.4228,462.2203,475.4334,81.6995,151.8,7.5716,2128.96,1.4576,1.5584,0.2932,-489.7046,850.4858,0.51112
563.5752,485.4326,501.2572,84.5677,163.55,7.6213,2157.79,1.5475,1.6245,0.341,-490.2159,838.6923,0.53729
563.7276,421.6687,486.7113,84.2397,159.61,7.7343,2135.8198,1.3656,1.5185,0.318,-491.2125,835.9707,0.52481
563.88,449.0758,463.4507,86.0916,145.05,7.8042,2078.9199,1.3081,1.4471,0.2213,-492.0568,825.7648,0.58567
564.0324,487.3902,448.3281,87.7304,133.59,7.7966,2035.3201,1.2813,1.467,0.1753,-492.5227,838.2386,0.58148
564.1848,509.7635,436.6977,86.7473,133.46,7.7501,2041.4801,1.4722,1.6781,0.1594,-493.1421,834.3832,0.57709
564.3372,479.8393,442.8173,86.9274,139.58,7.7705,2082.8098,1.5303,1.681,0.1771,-493.6313,820.095,0.50577
564.4896,464.7372,460.3108,87.2551,133.06,7.8702,2082.3801,1.3714,1.4424,0.1878,-493.8068,840.5067,0.47236
564.642,499.9754,464.1555,87.5828,119.42,7.958,2058.3301,1.2916,1.3602,0.1945,-494.4602,840.5067,0.43198
564.7944,527.9421,474.8888,90.1396,103.49,7.9491,2030.05,1.2158,1.308,0.1754,-495.325,823.4969,0.48752
564.9468,498.0176,493.1833,90.8934,95.51,7.8475,2043.83,1.2456,1.3126,0.1832,-496.1989,832.7956,0.61914
565.0992,485.9919,495.362,87.9432,95.49,7.7461,2076.3499,1.2659,1.295,0.1924,-496.7784,845.4962,0.7161
565.2516,470.0509,483.5394,88.9265,99.75,7.7457,2106.8101,1.3002,1.3434,0.2337,-497.2062,818.0539,0.55718
565.404,474.2459,480.6879,87.124,100.86,7.8688,2104.3601,1.2892,1.3673,0.2342,-497.0682,825.5381,0.48811
565.5564,474.5256,480.3675,90.0742,107.59,8.0211,2118.8401,1.3283,1.4434,0.2481,-496.85,859.5576,0.52449
565.7088,467.534,469.6984,86.1739,110.27,8.1924,2137.99,1.4321,1.5406,0.2986,-497.0227,824.8577,0.57035
565.8612,435.6519,464.8604,86.4029,81.53,8.5781,2121.5999,1.438,1.5483,0.2993,-484.8579,856.8361,0.53114
566.0136,447.9572,478.7014,87.3043,45.59,8.8474,2079.74,1.3766,1.5036,0.3072,-471.7954,917.6173,0.47837
566.166,445.4403,501.2572,88.0909,13.18,8.7057,2049.4202,1.4007,1.5457,0.3016,-470.5812,873.1653,0.4586
566.3184,458.8642,497.4125,90.2051,28.26,7.8158,2080.77,1.4262,1.6588,0.3967,-463.1989,848.2178,0.4676
566.4708,456.9066,477.1956,90.4509,69.83,6.6465,2140.51,1.4891,1.7274,0.6706,-457.2557,863.1863,0.49396
566.6232,464.7372,460.0865,95.2038,111.11,5.6599,2177.9302,1.5012,1.7151,0.7626,-456.5875,867.7222,0.49219
566.7756,470.8901,450.9232,94.7287,134.6,5.1824,2192.1201,1.4625,1.6624,0.6569,-456.4148,832.342,0.46994
566.928,437.3301,438.7483,94.843,134.9,5.1734,2175.23,1.4621,1.6303,0.5677,-455.9875,855.2484,0.47702
567.0804,443.2029,429.9695,90.4178,135.88,5.3829,2161.2,1.459,1.5924,0.3904,-456.2273,864.5471,0.47728
567.2328,439.2877,456.9787,91.0736,138.5,5.5799,2142.1599,1.3889,1.5427,0.3008,-456.8068,848.8983,0.57278
567.3852,450.4741,476.8111,87.0259,136.03,5.6845,2112.6699,1.3833,1.5594,0.2348,-454.1932,874.9796,0.55053
567.5376,464.4576,463.6429,86.6327,134.93,5.6964,2094.6902,1.3767,1.5151,0.2112,-453.1932,858.6503,0.50649
567.69,446.5589,475.7859,84.6657,133.87,5.6241,2093.3799,1.3414,1.4587,0.2096,-452.7938,871.351,0.44919
567.8424,463.3389,500.8727,84.0103,136.49,5.4966,2115.3801,1.326,1.4274,0.2227,-452.9091,887.2267,0.41247
567.9948,466.4154,484.1482,85.5506,143.95,5.4156,2145.54,1.3795,1.4837,0.3004,-453.0398,818.5074,0.44118
568.1472,442.9232,453.9029,88.9597,152.31,5.469,2173.6602,1.4713,1.5751,0.3302,-454.0909,852.3001,0.44556
568.2996,444.3217,442.9134,88.7955,158.73,5.7032,2192.0601,1.4088,1.4921,0.3653,-453.8409,911.9475,0.42722
568.452,458.5848,444.8998,86.1733,155.42,6.1023,2178.0701,1.4412,1.5363,0.3351,-453.1875,884.5051,0.44629
568.6044,448.5165,448.8087,78.6015,141.37,6.5512,2115.8701,1.4471,1.5448,0.2787,-452.9659,851.8465,0.43688
568.7568,451.0337,468.4168,77.4543,117.82,6.8792,2016.7401,1.4323,1.5012,0.188,-453.0171,889.9482,0.43285
568.9092,454.1101,494.6251,78.438,105.47,6.9948,1963.63,1.5196,1.5812,0.1408,-453.7062,831.6616,0.45681
569.0616,479.2799,462.9701,82.1092,110.19,6.9804,1973.5499,1.6289,1.6827,0.1385,-453.3466,849.5786,0.49815
569.214,481.2375,422.0877,81.2734,129.9,6.9696,2026.48,1.6281,1.6712,0.1532,-453.8182,882.0103,0.54601
569.3664,464.1779,425.0995,84.551,147.79,7.0219,2068.28,1.4207,1.4131,0.1727,-452.7102,844.3622,0.49742
569.5188,442.0842,459.4778,82.8628,154.2,7.1007,2084.4299,1.2535,1.2334,0.1779,-452.7727,837.785,0.53352
569.6712,445.4403,488.0249,85.6652,145.86,7.1928,2064.5498,1.1321,1.1188,0.1707,-453.3438,863.6399,0.62863
569.8236,485.4326,499.1426,83.0434,133.06,7.2667,2039.8199,1.0939,1.0912,0.1707,-453.2727,860.9184,0.63124
569.976,516.7551,511.638,84.2397,129.92,7.327,2043.9701,1.1045,1.1029,0.1835,-452.4829,850.4858,0.69685
570.1284,526.2642,508.9146,83.7809,133.06,7.3818,2071.4399,1.1452,1.1087,0.2374,-451.4034,851.1661,0.64178
570.2808,519.2723,493.728,80.3389,137.09,7.4578,2087.1602,1.2273,1.1163,0.2562,-451.6364,885.8659,0.58197
570.4332,483.1954,485.1093,83.9444,138.83,7.5623,2083.6301,1.2362,1.112,0.2685,-451.5568,884.0515,0.49375
570.5856,465.2968,496.2911,83.0921,148.82,7.698,2099.4402,1.2462,1.1156,0.2555,-450.5966,846.1765,0.48578
570.738,442.3641,494.8814,86.0422,150.3,7.8594,2098.1599,1.2634,1.1496,0.2284,-451.8977,857.0627,0.51541
570.8904,448.5165,484.4365,89.1729,143.25,7.9858,2073.4302,1.3029,1.2166,0.1928,-455.9148,858.6503,0.54424
571.0428,425.5839,497.1562,90.3199,126.62,8.0322,2028.61,1.271,1.1861,0.165,-456.5341,856.6093,0.58667
571.1952,437.0502,519.0391,88.8448,119.66,7.9755,2028.8701,1.2306,1.1503,0.1706,-460.125,849.1249,0.5229
571.3476,440.1266,517.7896,86.2061,118.47,7.8626,2074.4199,1.299,1.2323,0.2008,-462.5511,879.7424,0.52869
571.5,441.5249,503.3398,85.7148,118.65,7.7379,2143.1001,1.3505,1.2865,0.2634,-463.75,889.0411,0.50525
571.6524,408.5242,476.683,88.0091,113.19,7.6548,2196.96,1.477,1.4281,0.3559,-463.5625,858.1967,0.50487
571.8048,368.8116,447.9115,83.0925,101.9,7.6956,2214.99,1.6046,1.5983,0.4499,-462.1932,826.4453,0.53169
571.9572,342.2432,437.4026,85.223,97.29,7.8547,2223.1099,1.5744,1.6416,0.6373,-461.4716,855.0215,0.48561
572.1096,346.1586,435.9608,84.2398,94.68,8.1114,2227.77,1.2835,1.391,0.674,-463.8296,869.083,0.46445
572.262,350.074,416.0323,79.4868,97.51,8.3653,2240.8499,2.0719,2.4339,0.7194,-464.2671,834.8367,0.39193
572.4144,338.8873,387.5492,70.6366,92.45,8.5898,2220.5601,2.555,3.304,0.7804,-464.7671,827.3525,0.36892
572.5668,312.5985,386.1715,69.3256,67.96,8.667,2095.7998,1.8249,2.332,0.3035,-465.0852,869.7634,0.43205
572.7192,320.1495,447.1106,72.2757,39.47,8.523,1943.8401,1.2315,1.4864,0.149,-465.25,833.2492,0.54074
572.8716,381.9561,530.4772,77.848,25.37,8.2241,1866.26,1.1184,1.2787,0.1022,-465.3125,809.4357,0.77503
573.024,437.8894,556.6534,79.3229,50.05,7.9394,1911.99,1.1985,1.3093,0.1129,-465.7727,880.4228,0.75045
573.1764,480.6782,539.9609,81.4534,84.99,7.7736,1999.5499,1.2849,1.3427,0.1444,-465.2671,878.155,0.57619
573.3288,510.6028,511.8303,88.7466,116.61,7.755,2057.0,1.3789,1.3901,0.2119,-462.0284,820.095,0.49176
573.4812,473.1273,484.1802,91.6965,136.74,7.8608,2068.7302,1.5222,1.4643,0.2568,-457.9943,844.5891,0.46442
573.6336,485.153,484.4365,92.8437,139.53,8.0183,2045.58,1.3964,1.2744,0.2247,-456.9886,924.4213,0.50653
573.786,483.1954,515.8352,88.5003,135.84,8.0986,2021.1699,1.3877,1.3031,0.1699,-456.0739,857.7433,0.48913
573.9384,499.1364,524.3577,88.9923,128.06,8.0674,2043.2001,1.3678,1.3239,0.17,-456.7557,807.3943,0.48616
574.0908,465.856,483.6996,92.1062,125.41,8.0041,2074.04,1.4348,1.42,0.2078,-463.4261,893.1234,0.46848
574.2432,456.9066,462.3613,97.0229,115.55,7.9576,2045.6901,1.4376,1.4149,0.2056,-465.0511,895.845,0.48478
574.3956,439.008,471.4605,97.5146,110.96,7.9132,2008.8999,1.3976,1.399,0.1807,-466.0938,804.673,0.4383
574.548,461.1017,470.8518,95.8755,121.09,7.894,2011.8401,1.397,1.4214,0.1603,-466.1875,857.2896,0.44934
574.7004,467.534,473.6072,90.6313,135.59,7.9308,2054.1602,1.3871,1.434,0.1776,-466.1932,928.9572,0.49589
574.8528,458.3049,472.8382,90.1397,141.06,8.0043,2073.1399,1.3846,1.4247,0.1874,-466.4091,832.5688,0.53373
575.0052,457.4659,475.5295,92.7623,154.67,8.0466,2095.04,1.3921,1.4268,0.2097,-466.4829,856.3823,0.6382
575.1576,380.5575,477.5801,90.9429,153.67,8.0538,2101.8,1.3338,1.3775,0.2289,-466.2614,907.1848,0.5767
575.31,384.7526,481.553,88.1569,141.72,8.0183,2077.5298,1.3347,1.3852,0.2069,-466.3875,842.3211,0.60594
575.4624,425.8635,486.5511,83.24,117.08,7.9369,2032.9102,1.2768,1.3886,0.1814,-466.3352,833.9296,0.5344
575.6148,469.4915,483.9559,85.387,114.18,7.82,2019.01,1.2724,1.4149,0.1685,-466.1932,847.5374,0.56801
575.7672,477.8817,483.2831,86.6486,124.22,7.7029,2050.03,1.2552,1.3913,0.1834,-466.4188,839.5995,0.54865
575.9196,471.4494,480.6559,86.157,141.31,7.6572,2083.1201,1.3226,1.4038,0.2175,-466.5057,826.2186,0.54016
576.072,475.3645,481.8734,84.1902,139.87,7.6959,2084.8899,1.3307,1.3748,0.256,-466.4602,849.1249,0.53197
576.2244,485.7122,493.2794,84.3708,142.47,7.7905,2088.5898,1.3011,1.3404,0.263,-466.4432,843.4551,0.5331
576.3768,476.4834,492.8949,83.7151,141.21,7.8777,2102.0,1.3299,1.3526,0.2788,-466.2437,855.0215,0.54049
576.5292,459.7034,477.6442,85.8459,156.01,7.9002,2137.23,1.3523,1.3659,0.3321,-466.1875,875.8868,0.4928
576.6816,460.822,464.0594,82.0601,156.09,7.902,2132.9299,1.3595,1.3731,0.3086,-466.0682,852.9805,0.43759
576.834,468.6526,456.9787,85.3377,140.93,7.8741,2078.8201,1.3321,1.3643,0.2065,-465.7898,808.7552,0.43895
576.9864,461.1017,455.8894,84.0264,127.67,7.8301,2032.7001,1.3101,1.3485,0.1553,-465.8687,872.7118,0.48148
577.1388,456.3474,456.8185,87.9927,129.16,7.778,2022.6,1.3244,1.3433,0.1472,-465.8466,891.7626,0.52733
577.2912,455.788,463.7711,90.9426,135.22,7.754,2033.1099,1.2966,1.308,0.1619,-465.8864,862.5059,0.54114
577.4436,505.5687,481.2967,91.4343,133.16,7.7385,2025.22,1.3088,1.327,0.1714,-466.1136,841.1871,0.54385
577.596,491.3056,481.4248,90.1723,127.37,7.6929,2016.83,1.325,1.351,0.1599,-466.225,834.8367,0.53601
577.7484,470.3305,460.5351,88.6976,121.16,7.6096,2008.6,1.3764,1.3451,0.1448,-466.375,865.2274,0.49123
577.9008,440.6859,439.1968,89.189,96.42,7.5178,1977.58,1.3743,1.3311,0.1402,-466.6193,846.1766,0.46845
578.0532,411.0413,466.7507,90.09,69.66,7.4402,1920.38,1.3113,1.3041,0.1246,-466.8523,844.1354,0.54031
578.2056,421.6687,505.102,85.8287,37.97,7.3183,1856.8099,1.2407,1.2728,0.1061,-466.8062,878.8353,0.54202
578.358,437.3301,509.972,82.8789,29.77,7.1125,1861.2,1.2104,1.2644,0.095,-466.4886,884.9587,0.63866
578.5104,388.668,497.2523,80.1751,35.99,6.8321,1911.76,1.3123,1.3611,0.1068,-466.6818,843.9086,0.61275
578.6628,436.2112,463.8672,83.6166,43.31,6.5398,1955.5499,1.2964,1.347,0.124,-466.9829,857.2896,0.63805
578.8152,439.847,455.0884,85.4195,59.96,6.2433,2011.8799,1.2526,1.3117,0.1419,-467.3125,860.6916,0.79715
578.9676,418.8719,459.9263,86.5337,67.95,5.9653,2064.8601,1.2989,1.372,0.183,-467.2386,889.0411,0.59984
579.12,354.8281,445.5406,85.5506,79.97,5.7331,2132.0601,1.359,1.416,0.2466,-466.7625,881.7836,0.57776
579.2724,385.3119,448.7446,86.698,80.63,5.5733,2159.1499,1.3048,1.387,0.3358,-464.7273,828.7133,0.4561
579.4248,373.2863,482.8986,83.7481,59.3,5.4225,2149.54,1.4009,1.5204,0.3018,-460.2216,859.5576,0.5333
579.5772,361.2607,526.8568,80.7981,37.68,5.211,2153.26,1.3968,1.5278,0.4487,-459.0284,860.0111,0.56678
579.7296,332.455,522.6596,82.109,17.92,4.9951,2148.53,1.4233,1.5645,0.5477,-458.6023,833.476,0.55591
579.882,339.7263,483.4433,89.7138,15.81,4.8801,2153.03,1.43,1.5759,0.7602,-458.7614,859.3307,0.48328
580.0344,330.4972,475.914,92.3361,17.79,4.9157,2155.0,1.4595,1.6402,0.7028,-458.7062,839.5995,0.44661
580.1868,322.1073,471.1081,91.0249,45.26,4.9843,2190.1602,1.4459,1.6696,0.6785,-458.6989,831.6616,0.43811
580.3392,319.8698,447.3028,85.2556,70.07,5.1517,2225.46,1.4648,1.628,0.6694,-458.7102,858.1967,0.48042
580.4916,317.6326,444.227,85.7473,83.8,5.5651,2228.3298,1.424,1.5688,0.6644,-458.5909,859.3307,0.51942
580.644,317.0733,466.174,86.5667,73.61,6.1711,2204.2898,1.2687,1.4002,0.6694,-458.2784,864.0934,0.53367
580.7964,313.9968,487.3842,88.8283,64.42,6.7472,2192.0601,1.2812,1.4353,0.6675,-458.1818,857.2896,0.59747
580.9488,322.1073,499.5591,91.6146,61.38,7.1488,2205.53,1.2035,1.3247,0.6603,-457.9034,845.4962,0.68214
581.1012,333.8533,492.4784,93.7452,51.49,7.5026,2210.3601,1.2242,1.3366,0.6594,-457.8182,856.3823,0.75101
581.2536,336.3704,479.15,90.6314,36.94,7.8245,2200.1499,1.316,1.4249,0.68,-457.5852,803.9925,0.54576
581.406,336.6498,460.9196,86.8617,27.02,8.0453,2204.8499,1.4641,1.5917,0.7121,-457.125,874.5261,0.43125
581.5584,337.7687,443.9707,82.289,18.94,8.1563,2209.1201,1.5451,1.679,0.748,-456.9773,886.7731,0.39202
581.7108,334.4126,436.1531,82.289,16.8,8.2174,2223.01,1.5376,1.6655,0.7512,-457.0796,837.3315,0.4124
581.8632,335.5312,432.885,78.6836,15.26,8.2728,2219.1602,1.5751,1.702,0.7342,-456.8693,842.0942,0.43368
582.0156,336.3704,435.4482,77.1925,16.61,8.2678,2214.26,1.5338,1.7066,0.6227,-456.3523,907.6384,0.44632
582.168,336.9295,456.0496,75.7176,22.49,8.1752,2219.8401,1.5107,1.6773,0.4894,-456.3523,866.8151,0.47733
582.3204,357.3452,471.3965,72.1118,21.59,8.0239,2221.5801,1.5666,1.7126,0.4961,-456.6063,826.6721,0.47589
582.4728,331.0565,460.5671,71.4399,14.46,7.9294,2208.6899,1.623,1.7874,0.5258,-457.0852,879.9693,0.44357
582.6252,305.0477,456.5302,71.0027,-0.08,7.9919,2175.01,1.4464,1.6074,0.6152,-457.3693,845.0426,0.43121
582.7776,303.0898,451.4038,76.5588,-8.98,8.1836,2162.9199,1.4658,1.6351,0.6497,-457.7046,855.9288,0.4202
582.93,303.0898,441.2794,78.8693,-9.9,8.3963,2181.5901,1.5828,1.7185,0.7258,-458.2784,855.2484,0.45929
583.0824,305.8866,446.5979,82.2566,-4.74,8.5124,2204.3101,1.5076,1.6433,0.808,-458.9318,837.3315,0.43701
583.2348,310.9206,468.6731,85.8781,0.04,8.0574,2214.52,1.4519,1.5833,0.8245,-459.2671,856.3823,0.4868
