DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,RESERVOIR_CLASS,PHIE_DEN.1,PHIT_DEN.1,GR_MovingAvg_5,GR_MovingAvg_10,PHIE_DEN.2,PHIT_DEN.2,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,RW_TEMP,SW,RWA_FULL,RWA_SIMPLE,RWA_TAR,SWE_INDO,GR_RAW,GR_RAW_NORM,VSH_DN,VSH_DIFF,A,M,N,RTSH,RW,RWA,R0,RTR0,GROUP_ID,RT_R0_GRAD_x,PHIE_RTR0_GRAD_x,FLUID_RTROPHIE_x,RT_R0_GRAD_y,PHIE_RTR0_GRAD_y,FLUID_RTROPHIE_y
1576.4256,ABAB,ABB-035,10.323,-15.844,20.3335,3.947,0.1518,2.539,Lower_BTL,85.54014084507043,0.0,0.0,2.539,0.1518,0.1292958313534193,0.1292958313534193,0.1292958313534193,0.1292958313534193,2.767534893501447,2,0.1292958313534193,0.1292958313534193,18.89586,19.541669999999996,0.1292958313534193,0.1292958313534193,1,,,,,1.2951379310344828,1.0,0.0659836251852026,0.0659836251852026,0.0659836251852026,1.0,,85.54014084507043,0.3002819992776376,-0.3002819992776376,1,1.8,1.8,1,1,0.0993388819422782,39.73267992177966,-35.78567992177966,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1576.578,ABAB,ABB-035,10.296,-15.642,19.6888,3.72,0.157,2.538,Lower_BTL,84.63211267605634,0.0,0.0,2.538,0.157,0.132324163216397,0.132324163216397,0.132324163216397,0.132324163216397,2.772551377829339,2,0.132324163216397,0.132324163216397,18.116639999999997,18.91317,0.132324163216397,0.132324163216397,1,,,,,1.2951379310344828,1.0,0.0651360251158212,0.0651360251158212,0.0651360251158212,1.0,,84.63211267605634,0.3120398410802098,-0.3120398410802098,1,1.8,1.8,1,1,0.09760979962208,38.11092753394514,-34.390927533945145,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1576.7304,ABAB,ABB-035,10.269,-15.439,16.6622,3.425,0.1572,2.517,Lower_BTL,80.36929577464788,0.0,0.0,2.517,0.1572,0.1378033700205467,0.1378033700205467,0.1378033700205467,0.1378033700205467,2.7594594402858554,2,0.1378033700205467,0.1378033700205467,17.234039999999997,20.533859999999997,0.1378033700205467,0.1378033700205467,1,,,,,1.2951379310344828,1.0,0.0650399581023925,0.0650399581023925,0.0650399581023925,1.0,,80.36929577464788,0.2871586141749785,-0.2871586141749785,1,1.8,1.8,1,1,0.0966781397193029,35.42682978741842,-32.00182978741842,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1576.8828,ABAB,ABB-035,10.252,-15.237,14.0966,3.102,0.1578,2.469,Lower_BTL,76.75577464788732,0.0,0.0,2.469,0.1578,0.1504162377700127,0.1504162377700127,0.1504162377700127,0.1504162377700127,2.7290820108710285,3,0.1504162377700127,0.1504162377700127,18.024639999999994,23.68294,0.1504162377700127,0.1504162377700127,1,,,,,1.2951379310344828,1.0,0.0701828883023132,0.0701828883023132,0.0701828883023132,1.0,,76.75577464788732,0.2306434584502542,-0.2306434584502542,1,1.8,1.8,1,1,0.1025114302320888,30.26004020212169,-27.15804020212169,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1577.0352,ABAB,ABB-035,10.279,-15.203,15.3891,2.716,0.1613,2.446,Lower_BTL,78.57619718309859,0.0,0.0,2.446,0.1613,0.1582599836754752,0.1582599836754752,0.1582599836754752,0.1582599836754752,2.7178700928512214,3,0.1582599836754752,0.1582599836754752,21.932039999999997,27.273819999999994,0.1582599836754752,0.1582599836754752,1,,,,,1.2951379310344828,1.0,0.0680255401279239,0.0680255401279239,0.0680255401279239,1.0,,78.57619718309859,0.2115737782346569,-0.2115737782346569,1,1.8,1.8,1,1,0.098355301830601,27.614169744278875,-24.898169744278874,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1577.1876,ABAB,ABB-035,10.485,-15.17,24.2865,2.428,0.2283,2.415,Lower_BTL,91.10774647887324,0.0,0.0,2.415,0.2283,0.2024793790770537,0.2024793790770537,0.2024793790770537,0.2024793790770537,2.7742487941721983,4,0.2024793790770537,0.2024793790770537,28.470019999999998,30.4073,0.2024793790770537,0.2024793790770537,1,,,,,1.2951379310344828,1.0,0.0995428986540701,0.0995428986540701,0.0995428986540701,1.0,,91.10774647887324,0.3411753674325566,-0.3411753674325566,1,1.8,1.8,1,1,0.1370042763218655,17.72207455989093,-15.29407455989093,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1577.34,ABAB,ABB-035,10.793,-15.473,39.2258,2.27,0.2953,2.381,Lower_BTL,112.14901408450704,0.0,0.1025088888888888,2.373119015725318,0.2890523211619552,0.2204051298121083,0.2300153381454416,0.2204051298121083,0.2300153381454416,2.8200969229148702,4,0.2204051298121083,0.2300153381454416,36.431,33.06627999999999,0.2204051298121083,0.2300153381454416,1,,,,,1.2951379310344828,1.0,0.1229802637388174,0.1216181028162276,0.1244921860548262,1.0,,112.14901408450704,0.4671512516322614,-0.3646423627433726,1,1.8,1.8,1,1,0.1492192710465128,7.242136733817986,-4.972136733817987,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1577.4924,ABAB,ABB-035,11.267,-15.776,49.3521,2.126,0.3623,2.315,Lower_BTL,126.41140845070422,0.0,0.2150233333333333,2.27802036578582,0.3656692555617365,0.2446578154084504,0.2648162529084504,0.2354929999999999,0.2556514374999999,2.8567113924130583,4,0.2446578154084504,0.2648162529084504,43.58056,35.18407,0.2446578154084504,0.2648162529084504,1,,,,,1.2951379310344828,1.0,0.1450520417172562,0.1414868003974891,0.1487961546334484,1.0,,126.41140845070422,0.5544529491845637,-0.3394296158512304,1,1.8,1.8,1,1,0.157443111623246,3.6171975295961127,-1.4911975295961128,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1577.6448,ABAB,ABB-035,11.83,-16.536,53.9015,2.033,0.4294,2.248,Lower_BTL,132.81901408450705,0.0,0.2655722222222222,2.1749559369728515,0.4581113792294833,0.2852521251580397,0.310149520991373,0.2203283333333333,0.2452257291666666,2.9211198842701007,4,0.2852521251580397,0.310149520991373,48.10791999999999,37.07565999999999,0.2852521251580397,0.310149520991373,1,,,,,1.2951379310344828,1.0,0.1252037638068141,0.121858761025741,0.1283776024618758,1.0,,132.81901408450705,0.640795432445198,-0.3752232102229758,1,1.8,1.8,1,1,0.1335561856944992,3.04567094403804,-1.0126709440380397,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1577.7972,ABAB,ABB-035,12.273,-17.117,51.1369,1.956,0.3897,2.191,Lower_BTL,128.92521126760562,0.0,0.2348544444444444,2.1115023140114224,0.4018855526399479,0.2884890277859171,0.3105066319525837,0.2295436666666666,0.2515612708333333,2.7842219837731275,4,0.2884890277859171,0.3105066319525837,48.436099999999996,39.056349999999995,0.2884890277859171,0.3105066319525837,1,,,,,1.2951379310344828,1.0,0.1278056079079616,0.1245327626728751,0.1311817232483023,1.0,,128.92521126760562,0.4729134831772842,-0.2380590387328398,1,1.8,1.8,1,1,0.138333197911666,3.374807664441651,-1.4188076644416512,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1577.9496,ABAB,ABB-035,12.675,-17.342,46.9233,1.939,0.3501,2.25,Lower_BTL,122.99056338028169,0.0,0.1880366666666666,2.2036834586126632,0.3501231582706937,0.2633654604071649,0.2809938979071649,0.243589,0.2612174375,2.781535951133495,4,0.2633654604071649,0.2809938979071649,45.6813,40.443130000000004,0.2633654604071649,0.2809938979071649,1,,,,,1.2951379310344828,1.0,0.1376044546957258,0.1346213026832613,0.1408712797798114,1.0,,122.99056338028169,0.4454748145472732,-0.2574381478806066,1,1.8,1.8,1,1,0.1526024898579954,3.990964481584656,-2.051964481584656,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1578.102,ABAB,ABB-035,11.816,-17.125,40.8667,1.945,0.3105,2.324,Lower_BTL,114.4601408450704,0.0,0.1207411111111111,2.3066974965027365,0.3050758024750643,0.2393991270227736,0.2507186061894403,0.2393991270227736,0.2507186061894403,2.795589373424752,4,0.2393991270227736,0.2507186061894403,41.6817,40.31211,0.2393991270227736,0.2507186061894403,1,,,,,1.2951379310344828,1.0,0.1255802121179782,0.1239455480945144,0.1274060569332344,1.0,,114.4601408450704,0.436164670908232,-0.3154235597971209,1,1.8,1.8,1,1,0.1483679916467763,5.852257136014524,-3.907257136014524,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1578.2544,ABAB,ABB-035,11.431,-17.083,35.5781,2.001,0.2949,2.407,Lower_BTL,107.01140845070422,0.0,0.0619788888888888,2.4041588142413284,0.2912593177836556,0.2233849079636531,0.2291954287969864,0.2233849079636531,0.2291954287969864,2.8430784856827835,4,0.2233849079636531,0.2291954287969864,37.3057,38.312,0.2233849079636531,0.2291954287969864,1,,,,,1.2951379310344828,1.0,0.1062564847043902,0.1057318556947893,0.1068269249158589,1.0,,107.01140845070422,0.4975766121190233,-0.4355977232301345,1,1.8,1.8,1,1,0.1347547181454266,9.348351844501144,-7.347351844501144,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1578.4068,ABAB,ABB-035,11.399,-17.042,33.9035,2.057,0.2685,2.455,Lower_BTL,104.65281690140844,0.0,0.0433722222222222,2.455226693303445,0.2648048991538564,0.2013217045844661,0.2053878504177995,0.2013217045844661,0.2053878504177995,2.84310748607139,4,0.2013217045844661,0.2053878504177995,32.516299999999994,35.3948,0.2013217045844661,0.2053878504177995,1,,,,,1.2951379310344828,1.0,0.0871059244772976,0.0868611800299502,0.0873676666201264,1.0,,104.65281690140844,0.4897584252493544,-0.4463862030271322,1,1.8,1.8,1,1,0.1148781332412591,12.50846385445335,-10.45146385445335,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1578.5592,ABAB,ABB-035,11.064,-17.255,29.2569,2.127,0.2421,2.388,Lower_BTL,98.10830985915491,0.0,0.0,2.388,0.2421,0.2170500456595883,0.2170500456595883,0.2170500456595883,0.2170500456595883,2.7727825288262604,4,0.2170500456595883,0.2170500456595883,28.187899999999996,32.392599999999995,0.2170500456595883,0.2170500456595883,1,,,,,1.2951379310344828,1.0,0.100204506376404,0.100204506376404,0.100204506376404,1.0,,98.10830985915491,0.3429548801155779,-0.3429548801155779,1,1.8,1.8,1,1,0.136011389265688,15.638396251104128,-13.511396251104127,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1578.7116,ABAB,ABB-035,10.866,-17.593,22.9763,2.211,0.2157,2.351,Lower_BTL,89.26239436619717,0.0,0.0,2.351,0.2157,0.2130519191301176,0.2130519191301176,0.2130519191301176,0.2130519191301176,2.716758745388415,4,0.2130519191301176,0.2130519191301176,25.108299999999996,30.2036,0.2130519191301176,0.2130519191301176,1,,,,,1.2951379310344828,1.0,0.1003597668617528,0.1003597668617528,0.1003597668617528,1.0,,89.26239436619717,0.2324083849637429,-0.2324083849637429,1,1.8,1.8,1,1,0.136729603263862,16.17060202927081,-13.95960202927081,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1578.864,ABAB,ABB-035,10.972,-17.296,19.2247,2.25,0.2086,2.429,Lower_BTL,83.97845070422534,0.0,0.0,2.429,0.2086,0.1883254546463702,0.1883254546463702,0.1883254546463702,0.1883254546463702,2.76055785928018,3,0.1883254546463702,0.1883254546463702,23.103499999999997,28.600989999999996,0.1883254546463702,0.1883254546463702,1,,,,,1.2951379310344828,1.0,0.0797995729524646,0.0797995729524646,0.0797995729524646,1.0,,83.97845070422534,0.3089725780012778,-0.3089725780012778,1,1.8,1.8,1,1,0.1114342674197675,20.191275557314505,-17.941275557314505,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1579.0164,ABAB,ABB-035,11.078,-16.79,20.1801,2.272,0.2132,2.469,Lower_BTL,85.32408450704224,0.0,0.0,2.469,0.2132,0.1800158765825191,0.1800158765825191,0.1800158765825191,0.1800158765825191,2.791498101057847,3,0.1800158765825191,0.1800158765825191,23.101499999999994,27.654180000000004,0.1800158765825191,0.1800158765825191,1,,,,,1.2951379310344828,1.0,0.0736257863470676,0.0736257863470676,0.0736257863470676,1.0,,85.32408450704224,0.3687855971994551,-0.3687855971994551,1,1.8,1.8,1,1,0.1037451455461342,21.899819871472143,-19.627819871472145,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1579.1688,ABAB,ABB-035,11.132,-16.283,23.8795,2.287,0.2299,2.464,Lower_BTL,90.53450704225352,0.0,0.0,2.464,0.2299,0.1900456926902016,0.1900456926902016,0.1900456926902016,0.1900456926902016,2.8075093703280185,3,0.1900456926902016,0.1900456926902016,24.685679999999998,27.41207,0.1900456926902016,0.1900456926902016,1,,,,,1.2951379310344828,1.0,0.0826004144641953,0.0826004144641953,0.0826004144641953,1.0,,90.53450704225352,0.4043848803934097,-0.4043848803934097,1,1.8,1.8,1,1,0.1151358629296168,19.863489461993733,-17.576489461993734,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1579.3212,ABAB,ABB-035,11.142,-15.777,29.2469,2.3,0.2655,2.431,Lower_BTL,98.09422535211266,0.0,0.0,2.431,0.2655,0.2174575764307677,0.2174575764307677,0.2174575764307677,0.2174575764307677,2.828654852312168,4,0.2174575764307677,0.2174575764307677,27.120459999999998,27.72186,0.2174575764307677,0.2174575764307677,1,,,,,1.2951379310344828,1.0,0.1087619343584293,0.1087619343584293,0.1087619343584293,1.0,,98.09422535211266,0.4532721640318949,-0.4532721640318949,1,1.8,1.8,1,1,0.1475713377832322,15.585682386226472,-13.285682386226473,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1579.4736,ABAB,ABB-035,11.066,-16.32,30.8972,2.291,0.2668,2.408,Lower_BTL,100.41859154929575,0.0,0.0099688888888889,2.407577090731156,0.2659622368769556,0.2218928477601642,0.2228274310934975,0.2218928477601642,0.2228274310934975,2.8141852549199573,4,0.2218928477601642,0.2228274310934975,29.715839999999993,28.702749999999998,0.2218928477601642,0.2228274310934975,1,,,,,1.2951379310344828,1.0,0.1139747277199299,0.1139480730498461,0.114002001310784,1.0,,100.41859154929575,0.4287166949128997,-0.4187478060240108,1,1.8,1.8,1,1,0.1524344177443275,13.90770036689127,-11.61670036689127,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1579.626,ABAB,ABB-035,11.007,-16.364,31.3986,2.287,0.2511,2.441,Lower_BTL,101.12478873239436,0.0,0.0155399999999999,2.4408579322674355,0.2495388334721573,0.2033004925082619,0.2047573675082619,0.2033004925082619,0.2047573675082619,2.8158480904298564,4,0.2033004925082619,0.2047573675082619,32.340219999999995,30.179340000000003,0.2033004925082619,0.2047573675082619,1,,,,,1.2951379310344828,1.0,0.0960707035888524,0.0960214902783937,0.096121532599164,1.0,,101.12478873239436,0.4294508654460585,-0.4139108654460586,1,1.8,1.8,1,1,0.1299916151612008,15.443905885882158,-13.156905885882155,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1579.7784,ABAB,ABB-035,10.947,-16.407,33.157,2.316,0.2413,2.455,Lower_BTL,103.6014084507042,0.0,0.0350777777777777,2.4551817647939385,0.2373484333797773,0.1894114247155162,0.1926999663821829,0.1894114247155162,0.1926999663821829,2.8105966115966043,3,0.1894114247155162,0.1926999663821829,34.303999999999995,31.919629999999994,0.1894114247155162,0.1926999663821829,1,,,,,1.2951379310344828,1.0,0.0862570738983402,0.0860768761180467,0.086448070824382,1.0,,103.6014084507042,0.4219341260800709,-0.3868563483022932,1,1.8,1.8,1,1,0.1158963243222518,14.690967479392045,-12.374967479392044,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1579.9308,ABAB,ABB-035,10.925,-16.351,37.0014,2.366,0.2166,2.452,Lower_BTL,109.01605633802816,0.0,0.0777933333333333,2.4521687112794672,0.2053469576595267,0.1663737577249433,0.1736668827249433,0.1663737577249433,0.1736668827249433,2.771819737965289,3,0.1663737577249433,0.1736668827249433,35.67299999999999,32.88062,0.1663737577249433,0.1736668827249433,1,,,,,1.2951379310344828,1.0,0.0712762773886294,0.0707377888406134,0.0718675963017996,1.0,,109.01605633802816,0.3567179729391827,-0.2789246396058494,1,1.8,1.8,1,1,0.093749168953669,12.313738244373122,-9.947738244373122,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1580.0832,ABAB,ABB-035,10.902,-16.206,39.0658,2.481,0.1963,2.455,Lower_BTL,111.92366197183098,0.0,0.1007311111111111,2.455560072256228,0.1790833788435543,0.1488449028072994,0.1582884444739661,0.1488449028072994,0.1582884444739661,2.744267125206969,2,0.1488449028072994,0.1582884444739661,36.7188,32.68821,0.1488449028072994,0.1582884444739661,1,,,,,1.2951379310344828,1.0,0.0614599992885667,0.0607714548559943,0.0622228968643094,1.0,,111.92366197183098,0.3097248076014781,-0.208993696490367,1,1.8,1.8,1,1,0.0804540487951306,11.63613949153359,-9.15513949153359,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1580.2356,ABAB,ABB-035,10.86,-16.266,37.7422,2.596,0.1917,2.453,Lower_BTL,110.0594366197183,0.0,0.0860244444444444,2.453282363496228,0.1768006195157177,0.1506955920212025,0.1587603836878691,0.1506955920212025,0.1587603836878691,2.740206240191413,3,0.1506955920212025,0.1587603836878691,36.0454,31.53279,0.1506955920212025,0.1587603836878691,1,,,,,1.2951379310344828,1.0,0.065002184833983,0.0644093731872152,0.0656553425510897,1.0,,110.0594366197183,0.2958373850470921,-0.2098129406026477,1,1.8,1.8,1,1,0.0860767134048783,12.968263637127508,-10.372263637127508,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1580.388,ABAB,ABB-035,10.812,-17.186,36.6276,2.72,0.1973,2.446,Lower_BTL,108.48957746478872,0.0,0.07364,2.445682024267024,0.1851612763936267,0.1587664696423937,0.1656702196423937,0.1587664696423937,0.1656702196423937,2.744702042207266,3,0.1587664696423937,0.1656702196423937,33.036199999999994,30.28039,0.1587664696423937,0.1656702196423937,1,,,,,1.2951379310344828,1.0,0.074687747013012,0.0741357869143315,0.0752919020491474,1.0,,108.48957746478872,0.3013412330175312,-0.2277012330175312,1,1.8,1.8,1,1,0.0990683026327802,13.525417418856764,-10.805417418856765,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1580.5404,ABAB,ABB-035,10.764,-18.309,29.79,2.845,0.2081,2.431,Lower_BTL,98.85915492957746,0.0,0.0,2.431,0.2081,0.1875251501395935,0.1875251501395935,0.1875251501395935,0.1875251501395935,2.761285288087212,3,0.1875251501395935,0.1875251501395935,28.76158,29.640679999999996,0.1875251501395935,0.1875251501395935,1,,,,,1.2951379310344828,1.0,0.1000463651047253,0.1000463651047253,0.1000463651047253,1.0,,98.85915492957746,0.3101429444614232,-0.3101429444614232,1,1.8,1.8,1,1,0.1398264752415906,20.34664747920193,-17.50164747920193,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
1580.6928,ABAB,ABB-035,10.696,-20.33,21.9554,3.024,0.2088,2.425,Lower_BTL,87.82450704225352,0.0,0.0,2.425,0.2088,0.189502725428045,0.189502725428045,0.189502725428045,0.189502725428045,2.758179878831277,3,0.189502725428045,0.189502725428045,24.88778,29.828869999999995,0.189502725428045,0.189502725428045,1,,,,,1.2951379310344828,1.0,0.1085957196246428,0.1085957196246428,0.1085957196246428,1.0,,87.82450704225352,0.3046370127524792,-0.3046370127524792,1,1.8,1.8,1,1,0.151457092506491,19.966050780160064,-16.942050780160063,3,2.656808672502759,158.65375169459642,G,2.656808672502759,158.65375169459642,G
