STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD,CT,FTEMP,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,RW_TEMP,SW
ABAB,ABB-051,1374.8004,,-19.6743,72.275,0.857,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.166861143523921,143.74002000000002,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1374.9528,,-19.6187,72.275,0.893,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.1198208286674132,143.74764,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1375.1052,,-19.562,72.275,0.929,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0764262648008611,143.75526000000002,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1375.2576,,-19.5064,72.275,0.966,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0351966873706004,143.76288,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1375.41,,-19.2197,72.275,1.002,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.998003992015968,143.77050000000003,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1375.5624,,-18.933,72.275,1.039,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9624639076034648,143.77812,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1375.7148,,-18.6464,72.275,1.075,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9302325581395348,143.78574,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1375.8672,,-18.3597,72.275,1.138,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8787346221441126,143.79336,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1376.0196,,-18.0731,72.275,1.202,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.831946755407654,143.80098,1,,,,,1.2951379310344828,1.0
ABAB,ABB-051,1376.172,,-17.7864,72.275,1.265,0.3475,2.361,GUF,113.6968085106383,0.4697222222222222,0.4697222222222222,2.282163436354112,0.3452854897852278,0.1590639827089634,0.2031004410422967,0.1590639827089634,0.2031004410422967,2.831566571096152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.790513833992095,143.8086,1,,,,,1.2951379310344828,1.0
