STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_DN,VSH_GR
ABAB,ABB-137,1385.316,8.643,-7.297,79.753,1.534,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1385.4684,8.63,-7.555,79.753,1.528,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1385.6208,8.618,-7.813,79.753,1.534,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1385.7732,8.646,-8.072,79.753,1.54,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1385.9256,8.674,-7.833,79.753,1.545,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1386.078,8.703,-7.595,79.753,1.552,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1386.2304,8.731,-7.357,79.753,1.559,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1386.3828,8.747,-7.119,79.753,1.566,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1386.5352,8.762,-7.017,79.753,1.557,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1386.6876,8.778,-6.914,79.753,1.548,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1386.84,8.767,-6.812,79.753,1.54,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1386.9924,8.755,-6.71,79.753,1.51,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1387.1448,8.744,-6.458,79.753,1.481,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1387.2972,8.783,-6.207,79.753,1.453,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1387.4496,8.823,-5.955,79.753,1.425,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1387.602,8.847,-5.704,79.753,1.416,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1387.7544,8.872,-5.452,79.753,1.408,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1387.9068,8.897,-5.499,79.753,1.399,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1388.0592,8.922,-5.546,79.753,1.39,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1388.2116,8.908,-5.594,79.753,1.404,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1388.364,8.894,-5.904,79.753,1.418,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1388.5164,8.88,-6.215,79.753,1.432,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1388.6688,8.867,-6.525,79.753,1.446,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1388.8212,8.89,-6.836,79.753,1.461,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1388.9736,8.914,-7.146,79.753,1.475,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1389.126,8.937,-7.076,79.753,1.479,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1389.2784,8.961,-7.005,79.753,1.482,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1389.4308,8.984,-6.935,79.753,1.486,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1389.5832,8.995,-6.865,79.753,1.489,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1389.7356,9.005,-6.795,79.753,1.492,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1389.888,9.016,-6.724,79.753,1.504,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1390.0404,9.026,-6.896,79.753,1.515,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1390.1928,9.037,-7.067,79.753,1.527,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1390.3452,9.034,-7.238,79.753,1.538,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1390.4976,9.032,-7.41,79.753,1.55,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1390.65,9.029,-7.581,79.753,1.562,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1390.8024,9.026,-7.752,79.753,1.566,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1390.9548,9.037,-7.771,79.753,1.569,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1391.1072,9.047,-7.79,79.753,1.573,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1391.2596,9.057,-7.809,79.753,1.576,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1391.412,9.068,-7.828,79.753,1.58,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1391.5644,9.087,-8.647,79.753,1.608,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1391.7168,9.106,-9.466,79.753,1.637,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1391.8692,9.126,-10.437,79.753,1.667,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1392.0216,9.145,-11.408,79.753,1.697,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1392.174,9.197,-10.799,79.753,1.76,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1392.3264,9.249,-10.19,79.753,1.825,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1392.4788,9.301,-9.581,79.753,1.901,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1392.6312,9.353,-8.971,79.753,1.98,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1392.7836,9.405,-7.725,79.753,2.062,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1392.936,9.43,-6.479,79.753,2.111,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1393.0884,9.454,-7.145,79.753,2.161,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1393.2408,9.416,-8.433,79.753,2.213,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1393.3932,9.378,-9.722,79.753,2.11,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1393.5456,9.341,-11.01,79.753,2.013,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1393.698,9.226,-10.905,79.753,1.862,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1393.8504,9.112,-10.8,79.753,1.722,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1394.0028,9.054,-10.176,79.753,1.66,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1394.1552,8.996,-9.551,79.753,1.602,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1394.3076,8.938,-8.927,79.753,1.545,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1394.46,8.947,-8.302,79.753,1.49,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1394.6124,8.957,-8.746,79.753,1.477,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1394.7648,8.966,-9.094,79.753,1.464,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1394.9172,8.976,-9.441,79.753,1.451,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1395.0696,8.982,-9.789,79.753,1.438,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1395.222,8.988,-10.136,79.753,1.469,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1395.3744,8.993,-10.31,79.753,1.501,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1395.5268,8.999,-10.484,79.753,1.533,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1395.6792,8.995,-10.658,79.753,1.566,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1395.8316,8.99,-10.804,79.753,1.6,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1395.984,8.985,-10.951,79.753,1.687,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1396.1364,8.98,-11.097,79.753,1.778,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1396.2888,8.957,-11.244,79.753,1.874,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1396.4412,8.933,-10.466,79.753,1.9,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1396.5936,8.909,-9.689,79.753,1.926,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1396.746,8.842,-8.911,79.753,1.874,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1396.8984,8.775,-8.133,79.753,1.824,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1397.0508,8.746,-7.356,79.753,1.775,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1397.2032,8.717,-7.113,79.753,1.703,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1397.3556,8.729,-6.871,79.753,1.633,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1397.508,8.741,-6.629,79.753,1.567,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1397.6604,8.754,-7.179,79.753,1.526,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1397.8128,8.766,-7.728,79.753,1.486,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1397.9652,8.779,-8.086,79.753,1.447,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1398.1176,8.786,-8.444,79.753,1.409,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1398.27,8.793,-8.802,79.753,1.416,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1398.4224,8.8,-9.16,79.753,1.424,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1398.5748,8.808,-9.593,79.753,1.431,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1398.7272,8.815,-10.026,79.753,1.439,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1398.8796,8.815,-10.46,79.753,1.447,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1399.032,8.816,-10.154,79.753,1.445,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1399.1844,8.816,-9.848,79.753,1.443,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1399.3368,8.816,-9.542,79.753,1.441,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1399.4892,8.817,-8.942,79.753,1.44,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1399.6416,8.817,-8.342,79.753,1.444,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1399.794,8.83,-7.742,79.753,1.448,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1399.9464,8.843,-7.142,79.753,1.453,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1400.0988,8.856,-6.542,79.753,1.457,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1400.2512,8.868,-6.692,79.753,1.462,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1400.4036,8.881,-6.841,79.753,1.462,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1400.556,8.925,-6.991,79.753,1.462,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1400.7084,8.969,-7.14,79.753,1.462,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1400.8608,9.013,-7.604,79.753,1.462,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1401.0132,9.047,-8.068,79.753,1.462,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1401.1656,9.08,-8.073,79.753,1.459,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1401.318,9.114,-8.078,79.753,1.455,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1401.4704,9.148,-8.082,79.753,1.476,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1401.6228,9.099,-8.087,79.753,1.498,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1401.7752,9.05,-8.092,79.753,1.531,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1401.9276,9.006,-8.097,79.753,1.565,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1402.08,8.962,-8.216,79.753,1.569,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1402.2324,8.957,-8.334,79.753,1.573,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1402.3848,8.953,-8.453,79.753,1.577,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1402.5372,9.006,-8.191,79.753,1.581,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1402.6896,9.059,-7.928,79.753,1.544,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1402.842,9.113,-7.665,79.753,1.507,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1402.9944,9.206,-7.402,79.753,1.471,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1403.1468,9.3,-7.14,79.753,1.435,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1403.2992,9.281,-7.758,79.753,1.4,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
ABAB,ABB-137,1403.4516,9.263,-8.377,79.753,1.365,0.3025,2.371,GUF,0.4788057539794138,0.29266470588235294
