STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_RAW,GR_NORM,GR_RAW_NORM
ABAB,ABB-135,1389.7356,8.675,-1.8185,49.985,1.315,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1389.888,8.68,-1.8695,49.985,1.317,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1390.0404,8.686,-1.9215,49.985,1.331,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1390.1928,8.691,-1.9724,49.985,1.345,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1390.3452,8.697,-2.0234,49.985,1.359,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1390.4976,8.702,-2.0744,49.985,1.373,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1390.65,8.646,-2.1503,49.985,1.388,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1390.8024,8.59,-2.2253,49.985,1.4,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1390.9548,8.534,-2.3013,49.985,1.413,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1391.1072,8.496,-2.3762,49.985,1.426,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1391.2596,8.457,-2.4522,49.985,1.439,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1391.412,8.481,-2.5272,49.985,1.446,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1391.5644,8.505,-2.6031,49.985,1.454,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1391.7168,8.528,-2.6411,49.985,1.462,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1391.8692,8.571,-2.6791,49.985,1.47,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1392.0216,8.613,-2.7171,49.985,1.478,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1392.174,8.656,-2.756,49.985,1.484,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1392.3264,8.631,-2.794,49.985,1.49,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1392.4788,8.607,-2.832,49.985,1.495,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1392.6312,8.582,-2.8479,49.985,1.501,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1392.7836,8.53,-2.8649,49.985,1.506,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1392.936,8.478,-2.8809,49.985,1.526,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1393.0884,8.425,-2.8978,49.985,1.546,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1393.2408,8.373,-2.9138,49.985,1.567,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1393.3932,8.379,-2.9308,49.985,1.587,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1393.5456,8.385,-2.9467,49.985,1.608,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1393.698,8.391,-2.9547,49.985,1.66,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1393.8504,8.397,-2.9627,49.985,1.713,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1394.0028,8.403,-2.9706,49.985,1.768,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1394.1552,8.409,-2.9786,49.985,1.838,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1394.3076,8.406,-2.9866,49.985,1.911,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1394.46,8.404,-2.9946,49.985,1.987,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1394.6124,8.401,-2.9445,49.985,2.016,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1394.7648,8.399,-2.8935,49.985,2.045,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1394.9172,8.396,-2.8435,49.985,2.029,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1395.0696,8.39,-2.7924,49.985,2.012,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1395.222,8.383,-2.7414,49.985,1.984,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1395.3744,8.376,-2.6914,49.985,1.956,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1395.5268,8.37,-2.6403,49.985,1.928,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1395.6792,8.363,-2.5763,49.985,1.899,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1395.8316,8.356,-2.5113,49.985,1.87,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1395.984,8.35,-2.4472,49.985,1.842,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1396.1364,8.352,-2.3822,49.985,1.806,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1396.2888,8.355,-2.3182,49.985,1.77,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1396.4412,8.358,-2.2541,49.985,1.735,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1396.5936,8.361,-2.1891,49.985,1.701,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1396.746,8.363,-2.1961,49.985,1.679,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1396.8984,8.366,-2.2031,49.985,1.657,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1397.0508,8.369,-2.209,49.985,1.635,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1397.2032,8.368,-2.216,49.985,1.614,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1397.3556,8.368,-2.223,49.985,1.622,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1397.508,8.367,-2.2029,49.985,1.631,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1397.6604,8.367,-2.1819,49.985,1.639,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1397.8128,8.366,-2.1629,49.985,1.647,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1397.9652,8.409,-2.1418,49.985,1.696,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1398.1176,8.451,-2.1218,49.985,1.745,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1398.27,8.494,-2.1018,49.985,1.796,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1398.4224,8.536,-2.0817,49.985,1.833,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1398.5748,8.579,-2.0147,49.985,1.871,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1398.7272,8.574,-1.9487,49.985,1.826,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1398.8796,8.569,-1.8816,49.985,1.781,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1399.032,8.565,-1.8146,49.985,1.741,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1399.1844,8.529,-1.7476,49.985,1.702,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1399.3368,8.494,-1.6476,49.985,1.663,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1399.4892,8.458,-1.5475,49.985,1.649,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1399.6416,8.464,-1.4465,49.985,1.635,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1399.794,8.469,-1.3465,49.985,1.621,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1399.9464,8.475,-1.2454,49.985,1.607,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1400.0988,8.48,-1.1454,49.985,1.593,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1400.2512,8.472,-1.1554,49.985,1.595,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1400.4036,8.464,-1.1643,49.985,1.598,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1400.556,8.456,-1.1743,49.985,1.601,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1400.7084,8.448,-1.1843,49.985,1.603,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1400.8608,8.467,-1.1942,49.985,1.596,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1401.0132,8.486,-1.2032,49.985,1.588,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1401.1656,8.504,-1.1372,49.985,1.581,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1401.318,8.523,-1.0711,49.985,1.573,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1401.4704,8.545,-1.0051,49.985,1.566,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1401.6228,8.568,-0.9381,49.985,1.549,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1401.7752,8.59,-0.8721,49.985,1.533,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1401.9276,8.612,-0.806,49.985,1.517,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1402.08,8.635,-0.842,49.985,1.501,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1402.2324,8.657,-0.879,49.985,1.503,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1402.3848,8.647,-0.9149,49.985,1.504,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1402.5372,8.638,-0.9509,49.985,1.506,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1402.6896,8.628,-0.9879,49.985,1.508,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1402.842,8.619,-1.0238,49.985,1.51,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1402.9944,8.61,-1.0608,49.985,1.511,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1403.1468,8.607,-1.1408,49.985,1.513,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1403.2992,8.604,-1.2207,49.985,1.515,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1403.4516,8.601,-1.3017,49.985,1.517,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1403.604,8.599,-1.3817,49.985,1.509,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1403.7564,8.596,-1.4626,49.985,1.501,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1403.9088,8.593,-1.5426,49.985,1.494,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1404.0612,8.596,-1.6236,49.985,1.493,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1404.2136,8.6,-1.7596,49.985,1.492,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
ABAB,ABB-135,1404.366,8.603,-1.8965,49.985,1.491,0.269,2.411,GUF,,23.142105263157895,23.142105263157895
