DEPTH,CALI,DT,GR_CAL,HDRA,PEFZ,RHOZ,RLA3,RLA5,RXOZ,SP,TENS,TNPH,CALI_TR,DT_TR,GR_CAL_TR,HDRA_TR,PEFZ_TR,RHOZ_TR,RLA3_TR,RLA5_TR,RXOZ_TR,SP_TR,TENS_TR,TNPH_TR,CALI_TR_TR,DT_TR_TR,GR_CAL_TR_TR,HDRA_TR_TR,PEFZ_TR_TR,RHOZ_TR_TR,RLA3_TR_TR,RLA5_TR_TR,RXOZ_TR_TR,SP_TR_TR,TENS_TR_TR,TNPH_TR_TR,GR_CAL_TR_SM,GR,NPHI,RHOB,RT,MISSING_FLAG
616.1532,318.1919,395.527,85.8458,70.16,7.2285,2.2209101999999996,1.7901,1.9726,1.0151,-467.8807,893.1234,0.41559,318.1919,395.527,85.8458,70.16,7.2285,2220.9102,1.7901,1.9726,1.0151,-467.8807,893.1234,0.41559,318.1919,395.527,85.8458,70.16,7.2285,2220.9102,1.7901,1.9726,1.0151,-467.8807,893.1234,0.41559,88.85468,85.8458,0.41559,2.2209101999999996,1.9726,0.0
616.3056,323.7852,398.3465,88.2057,74.75,7.0036,2.2320801,1.8245,2.0207,1.0498,-467.8563,906.2775,0.37766,323.7852,398.3465,88.2057,74.75,7.0036,2232.0801,1.8245,2.0207,1.0498,-467.8563,906.2775,0.37766,323.7852,398.3465,88.2057,74.75,7.0036,2232.0801,1.8245,2.0207,1.0498,-467.8563,906.2775,0.37766,86.94038,88.2057,0.37766,2.2320801,2.0207,0.0
616.458,325.7428,400.7174,85.2883,102.49,6.7191,2.2506101,1.832,2.0474,1.0656,-467.8563,837.5583,0.36946,325.7428,400.7174,85.2883,102.49,6.7191,2250.6101,1.832,2.0474,1.0656,-467.8563,837.5583,0.36946,325.7428,400.7174,85.2883,102.49,6.7191,2250.6101,1.832,2.0474,1.0656,-467.8563,837.5583,0.36946,84.49510000000001,85.2883,0.36946,2.2506101,2.0474,0.0
616.6104,327.1411,404.6583,83.0756,131.16,6.7467,2.2713598999999998,1.7744,1.9862,1.0449,-467.8693,833.9296,0.36201,327.1411,404.6583,83.0756,131.16,6.7467,2271.3599,1.7744,1.9862,1.0449,-467.8693,833.9296,0.36201,327.1411,404.6583,83.0756,131.16,6.7467,2271.3599,1.7744,1.9862,1.0449,-467.8693,833.9296,0.36201,83.41664,83.0756,0.36201,2.2713598999999998,1.9862,0.0
616.7628,332.455,410.105,80.0601,136.36,7.0874,2.2511201,1.7556,1.9806,0.8791,-467.8466,942.5649,0.35263,332.455,410.105,80.0601,136.36,7.0874,2251.1201,1.7556,1.9806,0.8791,-467.8466,942.5649,0.35263,332.455,410.105,80.0601,136.36,7.0874,2251.1201,1.7556,1.9806,0.8791,-467.8466,942.5649,0.35263,82.22678,80.0601,0.35263,2.2511201,1.9806,0.0
616.9152,353.4298,416.3527,80.4535,148.22,7.3039,2.23779,1.7967,2.0408,0.6279,-467.925,928.2767,0.38414,353.4298,416.3527,80.4535,148.22,7.3039,2237.79,1.7967,2.0408,0.6279,-467.925,928.2767,0.38414,353.4298,416.3527,80.4535,148.22,7.3039,2237.79,1.7967,2.0408,0.6279,-467.925,928.2767,0.38414,81.71876,80.4535,0.38414,2.23779,2.0408,0.0
617.0676,355.108,421.0945,82.2564,152.68,7.4924,2.2166199,1.7248,1.9573,0.4321,-467.7125,865.9078,0.39467,355.108,421.0945,82.2564,152.68,7.4924,2216.6199,1.7248,1.9573,0.4321,-467.7125,865.9078,0.39467,355.108,421.0945,82.2564,152.68,7.4924,2216.6199,1.7248,1.9573,0.4321,-467.7125,865.9078,0.39467,82.69896,82.2564,0.39467,2.2166199,1.9573,0.0
617.22,391.7442,421.8955,82.7482,154.31,7.5678,2.2078701,1.8105,2.0226,0.436,-467.3239,901.2881,0.44431,391.7442,421.8955,82.7482,154.31,7.5678,2207.8701,1.8105,2.0226,0.436,-467.3239,901.2881,0.44431,391.7442,421.8955,82.7482,154.31,7.5678,2207.8701,1.8105,2.0226,0.436,-467.3239,901.2881,0.44431,84.52806000000001,82.7482,0.44431,2.2078701,2.0226,0.0
617.3724,408.2446,425.4198,87.9766,146.5,7.6131,2.1849202,1.8289,2.0189,0.3672,-467.2375,903.3292,0.37513,408.2446,425.4198,87.9766,146.5,7.6131,2184.9202,1.8289,2.0189,0.3672,-467.2375,903.3292,0.37513,408.2446,425.4198,87.9766,146.5,7.6131,2184.9202,1.8289,2.0189,0.3672,-467.2375,903.3292,0.37513,86.38668,87.9766,0.37513,2.1849202,2.0189,0.0
617.5248,419.4312,428.6879,89.2056,141.85,7.6682,2.1668501,1.8063,1.96,0.3187,-467.4489,902.6488,0.39916,419.4312,428.6879,89.2056,141.85,7.6682,2166.8501,1.8063,1.96,0.3187,-467.4489,902.6488,0.39916,419.4312,428.6879,89.2056,141.85,7.6682,2166.8501,1.8063,1.96,0.3187,-467.4489,902.6488,0.39916,86.9898,89.2056,0.39916,2.1668501,1.96,0.0
617.6772,392.3035,420.6139,89.7466,137.75,7.7488,2.13626,1.8659,1.9938,0.2402,-467.5625,882.0103,0.39148,392.3035,420.6139,89.7466,137.75,7.7488,2136.26,1.8659,1.9938,0.2402,-467.5625,882.0103,0.39148,392.3035,420.6139,89.7466,137.75,7.7488,2136.26,1.8659,1.9938,0.2402,-467.5625,882.0103,0.39148,87.429,89.7466,0.39148,2.13626,1.9938,0.0
617.8296,401.5326,415.4876,85.272,140.45,7.8293,2.12552,1.7715,1.8899,0.21,-467.6,853.2073,0.46419,401.5326,415.4876,85.272,140.45,7.8293,2125.52,1.7715,1.8899,0.21,-467.6,853.2073,0.46419,401.5326,415.4876,85.272,140.45,7.8293,2125.52,1.7715,1.8899,0.21,-467.6,853.2073,0.46419,87.65178,85.272,0.46419,2.12552,1.8899,0.0
617.982,415.7957,433.9744,84.9442,147.15,7.9124,2.1380999000000003,1.7258,1.8426,0.2055,-467.4829,911.2672,0.47198,415.7957,433.9744,84.9442,147.15,7.9124,2138.0999,1.7258,1.8426,0.2055,-467.4829,911.2672,0.47198,415.7957,433.9744,84.9442,147.15,7.9124,2138.0999,1.7258,1.8426,0.2055,-467.4829,911.2672,0.47198,87.66156,84.9442,0.47198,2.1380999000000003,1.8426,0.0
618.1344,432.2961,443.1056,89.0905,150.73,7.9669,2.1532199999999997,1.7895,1.9048,0.2196,-467.35,937.5756,0.48718,432.2961,443.1056,89.0905,150.73,7.9669,2153.22,1.7895,1.9048,0.2196,-467.35,937.5756,0.48718,432.2961,443.1056,89.0905,150.73,7.9669,2153.22,1.7895,1.9048,0.2196,-467.35,937.5756,0.48718,87.79267999999999,89.0905,0.48718,2.1532199999999997,1.9048,0.0
618.2868,452.7115,429.9054,89.2545,155.55,7.9854,2.17201,1.8001,1.9014,0.2473,-467.4312,865.0007,0.47566,452.7115,429.9054,89.2545,155.55,7.9854,2172.01,1.8001,1.9014,0.2473,-467.4312,865.0007,0.47566,452.7115,429.9054,89.2545,155.55,7.9854,2172.01,1.8001,1.9014,0.2473,-467.4312,865.0007,0.47566,88.4581,89.2545,0.47566,2.17201,1.9014,0.0
618.4392,425.5839,420.2615,90.4022,153.62,8.0073,2.16621,1.8258,1.8854,0.2296,-467.5284,894.4841,0.52845,425.5839,420.2615,90.4022,153.62,8.0073,2166.21,1.8258,1.8854,0.2296,-467.5284,894.4841,0.52845,425.5839,420.2615,90.4022,153.62,8.0073,2166.21,1.8258,1.8854,0.2296,-467.5284,894.4841,0.52845,89.51032000000001,90.4022,0.52845,2.16621,1.8854,0.0
