DEPTH,DT,GR_CAL,TENS
1514.5512,,,305.4637
1514.7036,,,306.1497
1514.856,,,306.7574
1515.0084,,,306.2281
1515.1608,,,308.2078
1515.3132,,,308.3254
1515.4656,,,310.175
1515.618,,,308.2078
1515.7704,,,307.5806
1515.9228,,,307.1886
1516.0752,,,307.6197
1516.2276,,,308.0902
1516.38,,,305.2872
1516.5324,,,302.994
1516.6848,,,300.9946
1516.8372,,,304.562
1516.9896,,,304.5424
1517.142,,,305.7025
1517.2944,,,305.1282
1517.4468,,,307.2866
1517.5992,,,307.6447
1517.7516,,,306.2281
1517.904,,,303.5624
1518.0564,,,301.8964
1518.2088,,,300.7595
1518.3612,,,299.3875
1518.5136,,,300.4637
1518.666,,,303.5232
1518.8184,,,305.3853
1518.9708,,,306.1693
1519.1232,,,302.8336
1519.2756,,,301.9551
1519.428,,,304.0275
1519.5804,,,306.5614
1519.7328,,,305.7576
1519.8852,,,302.1386
1520.0376,,,301.8179
1520.19,,,303.0331
1520.3424,,,304.5977
1520.4948,,,303.6212
1520.6472,,,303.2684
1520.7996,,,303.1187
1520.952,,,304.4053
1521.1044,,,304.17
1521.2568,,,309.031
1521.4092,,,310.9127
1521.5616,,,314.3091
1521.714,,,305.3461
1521.8664,,,299.2698
1522.0188,,,297.5948
1522.1712,,,302.3864
1522.3236,,,306.8161
1522.476,,,307.6269
1522.6284,,,309.0114
1522.7808,,,312.128
1522.9332,,,316.0089
1523.0856,,,316.8126
1523.238,,,313.7566
1523.3904,,,311.5595
1523.5428,,,311.3635
1523.6952,,,313.1472
1523.8476,,,314.1273
1524.0,,,313.6177
1524.1524,,,316.1266
1524.3048,,,318.051
1524.4572,,,317.6162
1524.6096,,,318.4003
1524.762,,,321.3653
1524.9144,,,320.2624
1525.0668,,,319.726
1525.2192,,,315.9502
1525.3716,,,313.1508
1525.524,,,312.814
1525.6764,,,314.3625
1525.8288,,,317.0888
1525.9812,,,318.7138
1526.1336,,,316.3618
1526.286,,,314.113
1526.4384,,,311.2263
1526.5908,,,311.0659
1526.7432,,,312.5004
1526.8956,,,315.0289
1527.048,,,314.8721
1527.2004,,,313.8137
1527.3528,,,313.0974
1527.5052,,,312.9904
