STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_RAW,GR_NORM,GR_RAW_NORM,VSH_DN
ABAB,ABB-096,1385.1636,,-11.748,63.623,1.576,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1385.316,,-12.366,63.623,1.582,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1385.4684,,-12.983,63.623,1.589,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1385.6208,,-13.601,63.623,1.548,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1385.7732,,-13.545,63.623,1.506,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1385.9256,,-13.488,63.623,1.464,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1386.078,,-13.432,63.623,1.423,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1386.2304,,-13.3751,63.623,1.382,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1386.3828,,-12.8261,63.623,1.354,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1386.5352,,-12.2761,63.623,1.326,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1386.6876,,-11.7271,63.623,1.298,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1386.84,,-11.1771,63.623,1.27,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1386.9924,,-10.8201,63.623,1.242,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1387.1448,,-10.4631,63.623,1.214,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1387.2972,,-10.1071,63.623,1.186,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1387.4496,,-9.7501,63.623,1.182,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1387.602,,-9.3932,63.623,1.178,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1387.7544,,-9.0362,63.623,1.173,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1387.9068,,-9.1382,63.623,1.169,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1388.0592,,-9.2402,63.623,1.165,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1388.2116,,-9.3422,63.623,1.161,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1388.364,,-9.7802,63.623,1.171,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1388.5164,,-10.2182,63.623,1.181,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1388.6688,,-10.6552,63.623,1.191,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1388.8212,,-10.9173,63.623,1.201,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1388.9736,,-11.1783,63.623,1.212,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1389.126,,-11.4403,63.623,1.222,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1389.2784,,-11.7013,63.623,1.232,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
ABAB,ABB-096,1389.4308,,-11.9633,63.623,1.256,0.2929,2.349,GUF,63.623,,63.623,0.4224925679993335
