STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_SM
ABAB,ABB-064,1418.082,,-3.262,45.06,0.76,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1418.2344,,-3.614,45.06,0.788,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1418.3868,,-3.965,45.06,0.817,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1418.5392,,-4.317,45.06,0.9,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1418.6916,,-4.669,45.06,0.981,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1418.844,,-4.814,45.06,1.063,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1418.9964,,-4.96,45.06,1.144,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1419.1488,,-5.106,45.06,1.225,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1419.3012,,-5.251,45.06,1.306,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1419.4536,,-5.397,45.06,1.388,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1419.606,,-5.597,45.06,1.411,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1419.7584,,-5.798,45.06,1.431,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1419.9108,,-5.998,45.06,1.451,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1420.0632,,-7.609,45.06,1.47,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1420.2156,,-9.219,45.06,1.49,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1420.368,,-12.365,45.06,1.509,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1420.5204,,-14.849,45.06,1.528,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1420.6728,,-15.653,45.06,1.548,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1420.8252,,-16.457,45.06,1.55,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1420.9776,,-17.261,45.06,1.553,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1421.13,,-19.122,45.06,1.555,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1421.2824,,-20.982,45.06,1.557,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1421.4348,,-21.674,45.06,1.559,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1421.5872,,-22.366,45.06,1.561,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1421.7396,,-22.657,45.06,1.564,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1421.892,,-22.949,45.06,1.566,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1422.0444,,-22.848,45.06,1.552,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1422.1968,,-22.746,45.06,1.538,0.1624,2.406,GUF,45.06
ABAB,ABB-064,1422.3492,,-22.645,45.06,1.524,0.1624,2.406,GUF,45.06
